№ п/п,"№
документа","Дата
регистрации","Исх. №
Дата",Адресат,Автор,"Краткое
содержание",Примечание
1438,WSR/1.6-2748/2018,06.11.2018,"10-исх-11223
06.11.2018",Крайчинская С.Б.,Возняк С.А. (Департамент образования и молодежной политики Ханты-Мансийского автономного округа-Югры),Вх - Об участии в торжественной церемонии открытия IV Регионального чемпионата и командировании Лукина А.А.,
1439,WSR/1-2747/2018,06.11.2018,"04.1-18/1679
06.11.2018",Крайчинская С.Б.,Щелкун Н.И. (РКЦ Хабаровского края),Вх - Об оказании содействия в обучении региональных экспертов с 6 по 7 ноября 2018г.,
1440,WSR/1-2745/2018,06.11.2018,"04.1-18/1671
02.11.2018",Глушко Д.Е.,Щелкун Н.И. (РКЦ Хабаровского края),Вх - О направлении регламента VI Регионального чемпионата Хабаровкого края,
1441,WSR/1-2744/2018,06.11.2018,"1.8-4629/18
17.10.2018",Глушко Д.Е.,Зайцев А.В (Правительство Сахалинской области),Вх - Об участии в мероприятиях V Национального чемпионата сквозных рабочих профессий высокотехнологичных отраслей промышленности по методике WorldSkills (WorldSkills Hi-Tech 2018),
1442,WSR/1-2743/2018,06.11.2018,"15-1/10/П-7835
31.10.2018",Уразов Р.Н.,Лекарев Г.Г. (Министерство труда и социальной защиты Российской Федерации),"Вх - Об утверждении дорожной карты по формированию и популяризации культуры безопасного труда среди молодежи
 на ОГ-П12-2249 от 18.04.2018",
1443,WSR/1-2746/2018,06.11.2018,"2525/15
06.11.2018",Крайчинская С.Б.,Абрамов Э.Н. (Правительство Курганской области Департамент образования и науки Курганской области),Вх - О проведении проектно-аналитической сессии по созданию ЦОПП,
1444,WSR/1-2742/2018,06.11.2018,"МР-57/02
02.11.2018",Уразов Р.Н.,Ракова М.Н. (Министерство просвещения Российской Федерации),"Вх - О согласовани федерального проекта ""Успех каждого ребенка""
 Письмо АП РФ от 2 июля 2018г. № 4919п-46",
1445,WSR/1-2741/2018,06.11.2018,"МР-60/02
02.11.2018",Уразов Р.Н.,Ракова М.Н. (Министерство просвещения Российской Федерации),"Вх - О согласовани федерального проекта ""Повышение конкурентоспособности профессионального образования""
 Письмо АП РФ от 2 июля 2018г. № 4919п-46",
1446,WSR/1-2740/2018,06.11.2018,"АЛВ-4/523
02.11.2018",Уразов Р.Н.,Ветлужских А.Л. (Депутат Государственной Думы),"Вх - О приглашении на Круглый стол ""Интеграция в сфере наставничества на производстве"" 14.11.2018",
1447,WSR/1-2739/2018,02.11.2018,"б/н
02.11.2018",Уразов Р.Н.,"Савина Е. (Аналитический центр ""Форум"")","Вх - Об участии в совещании ""Занятость людей предпенсионного возраста"" 8 ноября 2018г.",Совещание по пенсионной реформе переносится на 15 ноября (четверг) в 17:00.
1448,WSR/1-2738/2018,02.11.2018,"03-28-7228/18-0-0
02.11.2018",Уразов Р.Н.,Соляников Ю.В. (Комитет по образованию Правительства Санкт-Петербурга),"Вх - Об участии в церемонии открытия Регионального Чемпионата 28 ноября 2018г. в центре ""Экспофорум""",
